id,seq,dur,tool,plate,chars,lens,move,height,dir,smooth,hand,kit_state,chain,firstlast,lines,kf_status,clip_status,note
SH-036,3,5,higgsfield,WP-raft-market,KIT,85mm,locked off,eye,static,0,,stained,SH-035,,,todo,todo,No dialogue. Let him figure it out on camera.
SH-037,3,5,seedance,WP-raft-market,TOWER,35mm,locked off,toy,static,0,,,,,L-041 L-042,todo,todo,Tier C.
SH-038,3,10,seedance,WP-raft-plaza,KIT BENCHY,18mm,crane up reveal,toy,static,0,building,stained,,,L-043 L-044 L-045,todo,todo,"THE CROWNING. Benchy's line L-045 is thrown away flat under the noise — Tier C, off-screen."
SH-039,3,10,higgsfield,WP-raft-plaza,KIT,35mm,slow push in,ground,static,0,,stained,,,L-046 L-047,todo,todo,"THE REFUSAL, disguised as a triumph — he takes the crown instead of the job. Tier A lipsync, and give the actor room to be genuinely funny."
SH-040,3,5,seedance,WP-raft-plaza,JUNE,50mm,locked off,toy,static,0,,,,,L-048,todo,todo,JUNE first appearance. RULE 12 — her hollow wireframe side is on FRAME RIGHT when she faces camera. Tier B.
SH-041,3,10,seedance,WP-raft-plaza,JUNE KIT,35mm,slow push in,toy,static,0,,stained,,,L-049 L-050 L-051,todo,todo,Her full reveal. The backlight through the empty half is the shot. Tier B.
SH-042,3,5,higgsfield,WP-raft-plaza,KIT,85mm,locked off,eye,static,0,,stained,,,,todo,todo,No dialogue. Everyone in the audience recognises this silence — that recognition is the whole shot.
SH-043,3,10,seedance,WP-raft-plaza,KIT BENCHY,18mm,crane up reveal,toy,static,0,stopped,stained,,Y,L-052 L-053,todo,todo,"THE HAND STOPS. Hard mid-point of the film. Audio: cut EVERYTHING, including the stepper-motor motif, which does not return until SH-081. Author both keyframes — start on the crowd cheering, end on total stillness."
SH-044,4,10,seedance,WP-basin-riverbed,KIT JUNE TOWER,35mm,lateral track,toy,L>R,0,stopped,stained,,,L-054 L-055 L-056 L-057 L-058 L-059 L-060 L-061 L-062,todo,todo,Mostly Tier C — keep the camera wide and let the dialogue play over the walk. June's L-061 kills the conversation dead.
SH-045,4,5,seedance,WP-basin-riverbed,COLOSSUS,35mm,handheld follow,ground,L>R,0,,,,,,todo,todo,"COLOSSUS first appearance and SETUP 1 of 3. RULE 11 — he has NO back half in this shot or any other. Check the frame. Sound: boot-up chime, never a complete bark."
SH-046,4,5,higgsfield,WP-basin-riverbed,KIT JUNE,50mm,locked off,toy,static,0,,stained,,,L-063 L-064 L-065,todo,todo,"Kit's first lie. Kit Tier A, June Tier B."
SH-047,4,10,seedance,WP-raft-river,KIT BENCHY,50mm,locked off,toy,L>R,0,stopped,stained,,,L-066 L-067 L-068,todo,todo,"THE THEME, stated once, and never referenced again. Do NOT cut to Kit's face at any point in this shot — we do not check whether he heard it. Tier C."
SH-048,4,10,seedance,WP-basin-herd,KIT JUNE,18mm,handheld follow,ground,L>R,0,,stained,,,,todo,todo,"THE HERD. The most purely fun ten seconds in the film. Permitted Spider-Verse device (impact frame), 2 of 12."
SH-049,4,5,seedance,WP-basin-riverbed,KIT JUNE TOWER,35mm,lateral track,toy,L>R,0,,stained,,,,todo,todo,Chain the last frame into SH-050.
SH-050,4,10,seedance,WP-basin-riverbed,COLOSSUS KIT,50mm,locked off,ground,static,0,,stained,SH-049,,,todo,todo,"SETUP 2 of 3, and the cruellest shot in act two. The bark MUST cut off halfway — a complete bark is not permitted anywhere before SH-080."
SH-051,4,5,seedance,WP-basin-riverbed,JUNE,85mm,locked off,toy,static,0,,,,,,todo,todo,No dialogue. She logs it. This is the shot that makes her later verdict land.
SH-052,4,5,seedance,WP-basin-wide,KIT JUNE TOWER,35mm,slow push in,toy,L>R,0,stopped,stained,,,,todo,todo,Chain the last frame into SH-053. Cut all ambient sound at the top of this shot.
SH-053,4,10,seedance,WP-basin-finished-village,,18mm,slow push in,toy,static,25,,,SH-052,,,todo,todo,"THE FIRST HORROR BEAT. Ten seconds, no dialogue, no music, no ambience. Play it completely straight. If it reads as scary rather than desolate, regenerate."
SH-054,4,5,seedance,WP-basin-finished-village,,85mm,slow push in,toy,static,25,,,,,L-069,todo,todo,Layer 3's single quiet line plays over this. Tier C.
SH-055,4,5,seedance,WP-basin-wide,KIT JUNE TOWER,18mm,slow pull out,toy,L>R,25,stopped,stained,,,,todo,todo,THE CLOCK STARTS. From this shot onward the Smooth horizon appears in every exterior and NEVER retreats. Verify the smooth column is non-decreasing before generating any later batch.
SH-056,5,10,seedance,WP-gearhaven-wide,,18mm,crane up reveal,toy,L>R,30,stopped,,,,,todo,todo,KEY FLIPS TO CAMERA RIGHT for this entire sequence. Deliberate — this is the turn.
SH-057,5,10,higgsfield,WP-gearhaven-street,KIT,50mm,locked off,toy,static,30,,stained,,,L-070 L-071 L-072 L-073 L-074 L-075,todo,todo,"First real crack in him — his charm has worked on everything up to now. Kit Tier A, mech Tier C."
SH-058,5,10,seedance,WP-gearhaven-street,TOWER,35mm,locked off,toy,static,30,,,,,L-076 L-077 L-078 L-079 L-080 L-081 L-082 L-083,todo,todo,"BEST COMEDY SET PIECE IN THE FILM. Give it the full ten seconds and cut nothing. Tier C throughout — zero lipsync risk, which is exactly why we can afford it."
SH-059,5,10,seedance,WP-gearhaven-archive,KIT JUNE,18mm,crane up reveal,toy,static,0,,stained,,,L-084 L-085 L-086,todo,todo,Interior — no Smooth horizon. Machine noise drops away to a huge dry acoustic. Tier C.
SH-060,5,5,seedance,WP-gearhaven-archive,TOWER KIT,50mm,slow push in,toy,static,0,,stained,,,L-087 L-088 L-089,todo,todo,THE HALF-ANSWER. Tier C.
SH-061,5,5,seedance,WP-gearhaven-firstslot,,macro,slow push in,n/a,static,0,,,,,L-090 L-091 L-092 L-093 L-094 L-095 L-096,todo,todo,"The mystery half-turns here. All dialogue off-screen over the empty slot — Tier C, and much stronger for never cutting to a face."
SH-062,5,5,seedance,WP-gearhaven-archive,JUNE COLOSSUS,85mm,locked off,toy,static,0,,,,,L-097 L-098,todo,todo,"SETUP 3 of 3 for Colossus, played in the background of June's beat. June Tier B."
SH-063,5,10,seedance,WP-gearhaven-archive,FINISHER KIT,35mm,slow push in,toy,static,0,,stained,,,L-099 L-100 L-101 L-102 L-103 L-104 L-105 L-106,todo,todo,"THE FINISHER, first appearance. Tier A — but inverted: he has no mouth, so hold him completely static and let the warm voice do the work. Permitted Spider-Verse device (chromatic aberration), 3 of 12."
SH-064,5,5,seedance,WP-gearhaven-street,FINISHER,35mm,locked off,toy,R>L,0,,,,,L-107,todo,todo,The missing reflection is the detail people will rewatch for. The background figure turning its head is never acknowledged by any character and the camera does not push in on it.
SH-065,6,5,seedance,WP-bin-wide,KIT JUNE,18mm,slow push in,toy,down,0,,damaged,,Y,,todo,todo,"Kit's STATE CHANGE to damaged happens here. Grade: this sequence runs at near-zero saturation, and it is starving the film on purpose so the colour return at SH-081 hits. Author both keyframes to control the desaturation ramp."
SH-066,6,5,seedance,WP-bin-lost,,35mm,slow push in,toy,static,0,,,,,,todo,todo,"THE BIN-LOST. Never stage them as a threat — no looming, no reaching, no crowding. If a take reads as scary rather than sad, it is wrong. Two of them must be visibly hand-designed originals like June, and one of them is looking at June."
SH-067,6,5,seedance,WP-bin-drift,KIT JUNE,50mm,locked off,toy,static,0,,damaged,,,L-108 L-109,todo,todo,June Tier B.
SH-068,6,10,seedance,WP-bin-drift,JUNE,85mm,slow push in,toy,static,0,,,,,L-110 L-111 L-112,todo,todo,"The quietest and worst moment in the film. Tier B, and stay on the heel for the last line rather than her face."
SH-069,6,5,seedance,WP-bin-drift,FINISHER COLOSSUS,50mm,locked off,ground,static,0,,,,,L-113 L-114,todo,todo,"The ONE permitted exception to his staging law. Everywhere else he is upright and still. Tier A, static."
SH-070,6,10,higgsfield,WP-bin-drift,KIT,85mm,slow push in,eye,static,0,,damaged,,,L-115 L-116,todo,todo,"HE FAILS BY DOING THE EXACT THING HE ALWAYS DOES. Not weakness — habit. This is the most important performance beat in the film. Kit Tier A. Permitted Spider-Verse device (halftone), 4 of 12."
SH-071,6,5,seedance,WP-bin-drift,COLOSSUS FINISHER,50mm,locked off,ground,static,0,,,,Y,,todo,todo,"THE PAYOFF. Author both keyframes — start on full cobalt, end on the smoothed state. Audio: total silence, no sub, no ambience, nothing. From here to SH-079 Colossus is a statue and must not move a single frame."
SH-072,6,5,seedance,WP-bin-drift,TOWER_DAMAGED,35mm,locked off,toy,static,0,,,,,L-117,todo,todo,TOWER STATE CHANGE. Six glowing slots maximum from here to the end of the episode. Tier C.
SH-073,6,5,higgsfield,WP-bin-drift,KIT,85mm,locked off,eye,static,0,,damaged,,,L-118 L-119 L-120,todo,todo,Tier A.
SH-074,6,10,higgsfield,WP-bin-drift,KIT JUNE,50mm,locked off,eye,static,0,,damaged,,,L-121 L-122 L-123 L-124 L-125 L-126,todo,todo,"THE ADMISSION. Kit's only slow scene in the film and it should be ugly, not pretty. June's answer is a deadline, not encouragement — if the read is warm, do it again. Kit Tier A, June Tier B."
SH-075,6,5,higgsfield,WP-bin-shaft,KIT,85mm,slow push in,eye,static,0,,damaged,,,,todo,todo,No dialogue. End of act two. Cut hard to white.
SH-076,7,10,seedance,WP-smooth-finished-crowd,FINISHER KIT,35mm,slow push in,toy,R>L,75,stopped,damaged,,,L-127 L-128 L-129 L-130,todo,todo,"THE LIGHTING LAW BREAKS HERE, deliberately, and it should be physically uncomfortable after six sequences of hard graphic silhouettes. Tier A, completely static."
SH-077,7,10,seedance,WP-smooth-void,FINISHER,50mm,slow push in,toy,static,75,,,,,L-131 L-132 L-133 L-134 L-135,todo,todo,"THE OFFER, and it must be genuinely tempting — he is offering Kit exactly what Kit already wants. Tier A, static, no movement other than the hand."
SH-078,7,5,higgsfield,WP-smooth-void,KIT,85mm,slow push in,eye,static,75,,damaged,,,,todo,todo,No dialogue. The hesitation must be legible or the choice afterward is worthless.
SH-079,7,10,higgsfield,WP-smooth-void,KIT,35mm,handheld follow,eye,static,75,,glowing,,Y,L-136 L-137,todo,todo,"THE RESURRECTION. Author both keyframes. Permitted Spider-Verse devices (halftone + panel split), 5 and 6 of 12. Kit Tier A."
SH-080,7,5,seedance,WP-smooth-void,COLOSSUS_FINISHED,50mm,slow push in,ground,static,75,,,SH-079,Y,L-138 L-139,todo,todo,"THE EMOTIONAL PEAK OF THE FILM. The first complete bark in the episode — verify no earlier clip contains one. Author both keyframes: start smoothed and white, end finished and crooked."
SH-081,7,10,seedance,WP-smooth-colour-return,,18mm,crane up reveal,toy,static,50,restarted,,,Y,L-140,todo,todo,"THE THESIS BEAT — the chosen one is replaced by a crowd of amateurs. Grade: overshoot past the Raft's peak saturation for four seconds, then settle. Audio: everything returns at once, including the stepper-motor motif, absent since SH-043. Author both keyframes to control the colour wave."
SH-082,7,5,seedance,WP-smooth-colour-return,JUNE_REBUILT KIT,50mm,locked off,toy,static,25,restarted,glowing,,Y,L-141 L-142,todo,todo,"JUNE STATE CHANGE to rebuilt. Author both keyframes: start wireframe, end filled. Tier B."
SH-083,7,5,seedance,WP-smooth-colour-return,JUNE_REBUILT KIT,85mm,locked off,toy,static,25,restarted,glowing,SH-082,,L-143 L-144 L-145 L-146,todo,todo,He does not get to say goodbye. That is the point. Hold on June alone for the last second and a half.
SH-084,8,10,seedance,WP-bedroom-return,KIT,35mm,slow push in,eye,static,0,,damaged,,,,todo,todo,"THE STING. Generate this from the saved SH-002 keyframe, modified — do not regenerate the room from scratch or the bookend will not match. The figurine is gone and the camera does not comment on it in any way."
SH-085,8,10,seedance,WP-bedroom-drawer,KIT,35mm,locked off,high,static,0,,damaged,,,,todo,todo,Same angle as SH-009. No dialogue. He is not required to solve his whole life in one night.
SH-086,8,10,seedance,WP-bedroom-return,KIT,50mm,slow push in,eye,static,0,,damaged,,Y,L-147,todo,todo,LAST SHOT. Smash to black on the pulse. The stepper-motor melody resolves all the way to the end of its phrase for the first time in the film. Author both keyframes.
